gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
30,4,4,8,0.367,0,0,8,3,27,5,3,8,0.222,1,1,9,3,/boxes/SDN/SDN201405250.shtml
33,6,2,15,0.364,1,0,8,3,30,6,4,5,0.333,0,0,9,1,/boxes/NYA/NYA201406170.shtml
33,8,5,10,0.333,2,1,9,0,30,5,0,15,0.2,0,0,9,2,/boxes/SLN/SLN201407230.shtml
36,12,2,6,0.444,1,1,9,2,32,5,1,11,0.188,0,0,9,5,/boxes/SFN/SFN201406240.shtml
33,8,1,5,0.242,0,0,8,5,34,11,1,4,0.471,0,0,9,0,/boxes/KCA/KCA201404180.shtml
34,10,3,7,0.324,0,1,8,2,28,7,4,6,0.321,0,0,9,1,/boxes/WAS/WAS201407060.shtml
38,12,3,4,0.5,1,0,9,4,35,9,4,6,0.4,0,0,9,6,/boxes/ARI/ARI201406210.shtml
46,19,1,7,0.717,0,1,9,4,35,10,4,4,0.457,0,0,9,11,/boxes/MIL/MIL201406150.shtml
36,9,3,8,0.389,0,0,9,3,31,6,7,9,0.258,0,1,9,6,/boxes/LAN/LAN201407110.shtml
41,14,0,2,0.683,0,1,9,3,34,9,2,9,0.382,0,0,9,9,/boxes/LAN/LAN201408240.shtml
28,1,2,11,0.036,0,0,8,3,31,8,3,7,0.452,0,0,9,0,/boxes/NYA/NYA201409220.shtml
37,12,6,3,0.378,0,1,9,0,27,3,3,6,0.111,0,0,9,6,/boxes/TEX/TEX201406260.shtml
30,2,2,7,0.167,0,0,9,0,29,2,2,11,0.103,1,0,9,1,/boxes/TOR/TOR201409120.shtml
45,18,2,4,0.644,1,0,9,5,35,9,0,7,0.429,0,1,9,9,/boxes/MIN/MIN201407250.shtml
37,12,2,7,0.459,0,1,8,6,37,16,3,9,0.568,1,0,9,4,/boxes/BOS/BOS201409270.shtml
41,14,4,9,0.537,0,0,9,3,35,9,0,4,0.314,0,0,9,8,/boxes/PIT/PIT201408190.shtml
35,9,2,10,0.4,1,0,9,1,33,7,2,13,0.273,0,0,9,4,/boxes/PHI/PHI201406270.shtml
37,11,4,14,0.459,0,0,9,1,30,3,0,6,0.2,0,0,9,6,/boxes/CIN/CIN201406050.shtml
