gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,url
34,6,1,10,.265,0,0,8,4,29,7,1,9,.414,0,2,9,2,/boxes/BAL/BAL201504140.shtml
34,11,2,11,.588,0,1,9,1,30,3,1,9,.233,0,0,9,7,/boxes/HOU/HOU201505050.shtml
39,10,2,13,.333,0,0,8,5,35,10,6,6,.343,2,0,9,2,/boxes/SEA/SEA201505090.shtml
42,17,2,6,.619,0,0,9,6,35,9,5,7,.371,0,0,9,8,/boxes/SFN/SFN201506260.shtml
37,12,2,5,.432,0,1,8,13,39,16,4,3,.769,1,1,9,4,/boxes/TOR/TOR201504210.shtml
39,11,6,7,.333,0,0,9,2,32,5,3,10,.156,0,0,9,6,/boxes/PHI/PHI201504090.shtml
33,7,4,2,.485,0,0,9,3,32,8,4,4,.344,0,0,9,6,/boxes/TOR/TOR201505100.shtml
33,8,0,8,.273,0,0,8,7,34,12,2,4,.735,1,1,9,0,/boxes/NYN/NYN201505270.shtml
27,5,3,7,.185,0,0,8,1,26,5,4,6,.231,0,0,9,0,/boxes/SDN/SDN201504100.shtml
34,10,1,3,.353,0,0,8,5,32,9,3,3,.406,1,0,9,2,/boxes/COL/COL201505232.shtml
35,9,2,7,.257,0,0,9,0,32,5,1,9,.156,0,0,9,2,/boxes/MIN/MIN201505050.shtml
33,9,4,9,.424,1,1,9,3,33,10,2,10,.515,1,1,9,4,/boxes/ARI/ARI201507010.shtml
34,9,0,4,.441,0,0,9,2,34,8,2,7,.353,0,0,9,4,/boxes/BOS/BOS201505020.shtml
33,11,6,6,.455,0,2,9,3,35,9,2,11,.400,1,0,9,5,/boxes/TBA/TBA201504190.shtml
34,8,2,11,.559,1,0,9,2,32,8,3,8,.406,0,0,9,5,/boxes/TBA/TBA201504060.shtml
38,11,2,6,.289,0,0,8.2,1,36,8,3,6,.250,0,0,9,2,/boxes/TEX/TEX201505310.shtml
32,7,2,4,.250,0,0,8,2,30,7,1,4,.333,1,0,9,1,/boxes/MIN/MIN201505260.shtml
31,4,1,9,.323,0,0,8,4,30,9,4,2,.433,2,0,9,2,/boxes/TBA/TBA201506230.shtml
41,14,3,9,.585,0,0,9,0,30,4,2,5,.133,1,0,9,8,/boxes/NYN/NYN201505200.shtml
32,8,2,9,.375,1,1,9,2,36,9,3,14,.389,0,0,9,3,/boxes/SEA/SEA201505130.shtml
29,6,3,6,.310,1,0,9,0,33,6,2,8,.182,0,0,9,2,/boxes/MIA/MIA201504080.shtml
36,9,2,9,.389,0,0,8,5,31,11,2,3,.548,1,0,9,2,/boxes/CIN/CIN201506210.shtml
30,4,5,8,.167,0,0,9,0,30,3,1,9,.133,0,0,9,1,/boxes/NYN/NYN201506300.shtml
34,9,3,5,.559,0,1,9,2,32,6,4,9,.219,0,0,9,6,/boxes/CIN/CIN201506050.shtml
32,5,4,10,.250,0,0,8,3,31,8,5,5,.452,0,1,9,1,/boxes/OAK/OAK201507010.shtml
32,7,4,4,.406,0,0,9,1,31,8,2,5,.290,0,1,9,2,/boxes/SEA/SEA201504170.shtml
38,12,1,6,.526,0,0,9,2,35,10,0,6,.314,0,0,9,4,/boxes/BAL/BAL201505200.shtml
50,18,7,7,.500,0,1,12,3,40,5,6,11,.175,0,1,12,6,/boxes/SEA/SEA201505310.shtml
31,5,0,6,.161,0,0,8,4,31,10,2,6,.613,0,1,9,0,/boxes/DET/DET201504060.shtml
34,7,0,6,.294,0,0,8,15,41,19,4,5,.756,1,0,9,2,/boxes/TEX/TEX201506020.shtml
33,6,3,7,.424,0,0,8.1,4,34,10,4,10,.382,0,0,9,3,/boxes/CHA/CHA201504200.shtml
33,6,3,7,.303,2,0,9,1,30,3,6,9,.133,0,0,9,2,/boxes/WAS/WAS201505050.shtml
33,8,6,10,.515,0,1,9,5,35,7,1,9,.486,0,0,9,10,/boxes/SDN/SDN201505170.shtml
34,7,3,11,.500,0,0,9,1,29,2,2,4,.138,1,0,9,6,/boxes/TBA/TBA201506300.shtml
33,6,1,11,.182,1,0,9,0,31,5,5,4,.258,0,0,9,1,/boxes/OAK/OAK201505130.shtml
26,2,2,6,.115,0,0,8.1,0,32,8,2,2,.250,0,0,9,0,/boxes/PHI/PHI201504240.shtml
32,8,2,5,.313,0,0,8,4,32,8,7,10,.281,0,0,9,1,/boxes/DET/DET201504250.shtml
40,11,4,7,.375,0,1,9,2,38,12,1,1,.500,0,0,9,5,/boxes/BOS/BOS201506040.shtml
31,7,6,8,.258,0,0,8,4,31,8,2,5,.355,1,0,9,2,/boxes/KCA/KCA201504190.shtml
35,9,4,5,.400,0,0,8,5,37,12,5,2,.541,0,0,9,1,/boxes/NYN/NYN201504150.shtml
34,9,3,10,.441,0,0,8,11,38,17,6,6,.553,0,1,9,7,/boxes/CIN/CIN201506290.shtml
33,7,3,4,.242,0,0,9,1,31,5,0,3,.258,0,0,9,2,/boxes/KCA/KCA201505020.shtml
35,7,2,6,.257,0,1,8,4,29,9,6,7,.655,0,0,9,1,/boxes/CHA/CHA201506100.shtml
35,9,5,4,.400,2,0,9,2,33,8,4,6,.424,0,1,9,3,/boxes/BOS/BOS201505010.shtml
42,10,0,14,.262,0,0,10.1,2,35,8,2,8,.286,0,1,11,1,/boxes/ANA/ANA201505130.shtml
29,6,6,11,.207,0,0,8,8,35,14,2,1,.686,0,1,9,2,/boxes/CHA/CHA201505092.shtml
47,11,3,7,.255,1,0,12.2,1,49,13,5,12,.286,0,0,13,0,/boxes/PIT/PIT201506120.shtml
38,11,1,5,.500,0,0,8,5,33,10,0,9,.606,1,0,9,4,/boxes/BAL/BAL201505270.shtml
31,5,2,10,.194,0,0,8,9,34,10,1,5,.500,0,0,9,3,/boxes/LAN/LAN201506080.shtml
37,13,3,3,.486,1,1,9,5,36,11,4,7,.417,1,0,9,8,/boxes/MIL/MIL201506150.shtml
32,6,5,11,.313,1,1,8,4,31,7,0,8,.516,0,0,9,3,/boxes/MIL/MIL201505040.shtml
37,9,5,3,.324,0,0,9,4,31,5,2,11,.290,0,1,9,4,/boxes/NYA/NYA201504110.shtml
33,6,1,6,.364,0,0,9,1,31,4,1,6,.290,1,0,9,4,/boxes/PIT/PIT201506090.shtml
31,7,1,10,.226,0,1,8,14,39,16,3,9,.744,0,0,9,1,/boxes/NYN/NYN201505160.shtml
35,9,2,9,.343,2,0,9,6,38,12,8,7,.500,0,0,9,2,/boxes/OAK/OAK201505150.shtml
34,9,5,7,.324,0,1,8,4,30,7,6,5,.433,0,0,9,4,/boxes/COL/COL201506250.shtml
32,6,1,10,.313,0,0,8,4,32,9,3,9,.375,0,0,9,2,/boxes/TBA/TBA201504250.shtml
40,9,4,12,.375,1,0,10,4,36,8,3,11,.361,1,0,10,2,/boxes/CHN/CHN201506120.shtml
35,9,8,7,.400,0,0,9,0,30,4,3,9,.133,1,0,9,6,/boxes/CHN/CHN201506160.shtml
35,10,4,5,.429,0,0,9,2,35,8,2,3,.400,0,0,9,3,/boxes/CLE/CLE201506090.shtml
33,8,1,10,.303,0,0,8,2,29,5,3,13,.276,1,0,9,1,/boxes/TBA/TBA201506140.shtml
38,12,4,8,.368,1,0,9,1,29,2,0,10,.172,0,0,9,8,/boxes/HOU/HOU201505120.shtml
33,6,3,9,.364,1,0,8,7,35,13,5,6,.514,0,0,9,4,/boxes/BAL/BAL201505190.shtml
41,13,4,10,.463,0,0,10,3,38,10,4,13,.553,0,0,10,4,/boxes/SLN/SLN201505160.shtml
43,10,1,13,.349,0,0,10.1,7,43,12,8,12,.442,0,0,11,6,/boxes/CHN/CHN201504180.shtml
34,10,3,9,.324,1,1,9,1,30,4,4,7,.233,0,0,9,5,/boxes/MIA/MIA201506250.shtml
37,11,3,8,.595,0,0,9,4,35,8,2,15,.457,0,0,9,5,/boxes/CHN/CHN201505290.shtml
33,7,2,8,.273,0,0,9,2,31,5,5,9,.258,0,0,9,3,/boxes/CHN/CHN201504140.shtml
47,11,3,8,.468,1,0,12,6,46,11,6,10,.370,0,0,12,7,/boxes/SFN/SFN201504160.shtml
37,8,2,5,.378,0,0,9,1,36,7,2,8,.194,0,0,9,6,/boxes/ARI/ARI201504210.shtml
40,10,1,6,.275,0,1,10.2,2,35,6,6,7,.229,0,1,11,1,/boxes/WAS/WAS201506240.shtml
39,12,1,10,.615,0,0,8,10,38,17,5,7,.658,0,0,9,6,/boxes/TOR/TOR201505180.shtml
38,9,2,11,.316,0,0,10,4,36,7,2,5,.389,1,0,11,3,/boxes/CHA/CHA201506050.shtml
33,10,3,6,.485,0,0,7.1,2,26,4,5,6,.269,0,0,8,6,/boxes/KCA/KCA201506040.shtml
38,15,3,3,.737,0,1,9,1,35,8,3,13,.314,1,0,9,13,/boxes/DET/DET201504240.shtml
40,15,3,10,.675,1,0,9,4,36,9,2,8,.278,0,0,9,9,/boxes/SDN/SDN201505280.shtml
33,8,2,8,.424,2,0,8,5,30,10,4,7,.433,0,2,9,4,/boxes/ATL/ATL201506200.shtml
36,9,2,9,.361,0,0,8,3,33,12,1,3,.424,0,0,9,1,/boxes/WAS/WAS201506230.shtml
36,9,1,4,.361,1,0,8.1,8,36,14,4,11,.694,0,0,9,6,/boxes/WAS/WAS201505090.shtml
32,4,0,9,.219,0,0,8,4,31,7,3,8,.355,0,1,9,1,/boxes/NYA/NYA201505260.shtml
44,18,1,6,.614,2,0,9,8,39,14,4,5,.615,0,1,9,11,/boxes/NYA/NYA201506220.shtml
33,11,4,6,.364,1,0,9,1,35,7,3,16,.400,0,0,9,4,/boxes/SDN/SDN201506120.shtml
35,10,1,8,.371,1,1,9,3,35,10,3,7,.343,1,1,9,5,/boxes/TOR/TOR201506200.shtml
33,10,2,6,.364,0,0,9,1,29,2,1,13,.207,0,0,9,4,/boxes/SEA/SEA201506220.shtml
31,7,1,4,.290,0,0,8.2,2,31,5,0,11,.290,0,0,9,1,/boxes/SEA/SEA201505150.shtml
49,11,5,11,.347,0,0,12.1,5,48,12,5,9,.458,0,0,13,4,/boxes/ARI/ARI201505220.shtml
31,5,3,7,.355,0,0,8,6,35,13,2,5,.514,0,0,9,3,/boxes/BOS/BOS201506031.shtml
32,6,3,6,.281,0,1,9,1,29,4,3,6,.241,0,1,9,3,/boxes/TOR/TOR201505190.shtml
29,2,5,12,.172,0,0,8,3,27,8,5,6,.407,0,0,9,1,/boxes/SLN/SLN201505310.shtml
31,4,1,9,.129,0,0,8,7,35,12,1,2,.600,0,0,9,0,/boxes/SFN/SFN201505280.shtml
31,6,3,7,.355,1,0,8,5,32,10,4,7,.438,0,0,9,2,/boxes/DET/DET201505200.shtml
35,7,5,14,.257,0,0,9,4,33,7,1,9,.364,0,0,9,5,/boxes/TBA/TBA201505070.shtml
34,7,0,10,.382,0,0,8,3,29,7,1,5,.345,0,0,9,2,/boxes/NYN/NYN201505050.shtml
34,7,4,4,.294,0,0,9,3,35,9,3,9,.343,0,0,9,3,/boxes/WAS/WAS201504180.shtml
34,10,5,6,.382,0,0,8.2,4,34,11,7,4,.382,0,1,9,2,/boxes/CHA/CHA201505100.shtml
