rk,boxscore,tm,ha,opp,r,ra,inn
1,/boxes/ARI/ARI201504060.shtml,ARI,,SFG,4,5,
2,/boxes/ARI/ARI201504070.shtml,ARI,,SFG,7,6,
3,/boxes/ARI/ARI201504080.shtml,ARI,,SFG,2,5,
4,/boxes/ARI/ARI201504100.shtml,ARI,,LAD,4,3,10
5,/boxes/ARI/ARI201504110.shtml,ARI,,LAD,6,0,
6,/boxes/ARI/ARI201504120.shtml,ARI,,LAD,4,7,
7,/boxes/SDN/SDN201504130.shtml,ARI,@,SDP,8,4,
8,/boxes/SDN/SDN201504140.shtml,ARI,@,SDP,1,5,
9,/boxes/SDN/SDN201504150.shtml,ARI,@,SDP,2,3,
10,/boxes/SFN/SFN201504160.shtml,ARI,@,SFG,7,6,12
11,/boxes/SFN/SFN201504170.shtml,ARI,@,SFG,9,0,
12,/boxes/SFN/SFN201504180.shtml,ARI,@,SFG,1,4,
13,/boxes/SFN/SFN201504190.shtml,ARI,@,SFG,5,1,
14,/boxes/ARI/ARI201504210.shtml,ARI,,TEX,1,7,
15,/boxes/ARI/ARI201504220.shtml,ARI,,TEX,8,5,
16,/boxes/ARI/ARI201504240.shtml,ARI,,PIT,1,4,
17,/boxes/ARI/ARI201504250.shtml,ARI,,PIT,1,2,
18,/boxes/ARI/ARI201504260.shtml,ARI,,PIT,0,8,
19,/boxes/ARI/ARI201504270.shtml,ARI,,COL,4,5,
20,/boxes/ARI/ARI201504280.shtml,ARI,,COL,12,5,
21,/boxes/ARI/ARI201504290.shtml,ARI,,COL,9,1,
22,/boxes/LAN/LAN201505010.shtml,ARI,@,LAD,0,8,
23,/boxes/LAN/LAN201505020.shtml,ARI,@,LAD,4,6,
24,/boxes/LAN/LAN201505030.shtml,ARI,@,LAD,0,1,13
25,/boxes/COL/COL201505061.shtml,ARI,@,COL,13,7,
26,/boxes/COL/COL201505062.shtml,ARI,@,COL,5,1,
27,/boxes/ARI/ARI201505070.shtml,ARI,,SDP,11,0,
28,/boxes/ARI/ARI201505080.shtml,ARI,,SDP,5,6,
29,/boxes/ARI/ARI201505090.shtml,ARI,,SDP,4,6,12
30,/boxes/ARI/ARI201505100.shtml,ARI,,SDP,2,1,
31,/boxes/ARI/ARI201505110.shtml,ARI,,WSN,1,11,
32,/boxes/ARI/ARI201505120.shtml,ARI,,WSN,14,6,
33,/boxes/ARI/ARI201505130.shtml,ARI,,WSN,6,9,
34,/boxes/PHI/PHI201505150.shtml,ARI,@,PHI,3,4,
35,/boxes/PHI/PHI201505160.shtml,ARI,@,PHI,5,7,
36,/boxes/PHI/PHI201505170.shtml,ARI,@,PHI,0,6,
37,/boxes/MIA/MIA201505180.shtml,ARI,@,MIA,3,2,13
38,/boxes/MIA/MIA201505190.shtml,ARI,@,MIA,4,2,
39,/boxes/MIA/MIA201505200.shtml,ARI,@,MIA,6,1,
40,/boxes/MIA/MIA201505210.shtml,ARI,@,MIA,7,6,
41,/boxes/ARI/ARI201505220.shtml,ARI,,CHC,5,4,13
42,/boxes/ARI/ARI201505230.shtml,ARI,,CHC,6,9,
43,/boxes/ARI/ARI201505240.shtml,ARI,,CHC,4,3,
44,/boxes/SLN/SLN201505250.shtml,ARI,@,STL,2,3,10
45,/boxes/SLN/SLN201505260.shtml,ARI,@,STL,4,6,
46,/boxes/SLN/SLN201505270.shtml,ARI,@,STL,3,4,
47,/boxes/MIL/MIL201505290.shtml,ARI,@,MIL,7,5,
48,/boxes/MIL/MIL201505300.shtml,ARI,@,MIL,7,3,
49,/boxes/MIL/MIL201505310.shtml,ARI,@,MIL,6,7,17
50,/boxes/ARI/ARI201506010.shtml,ARI,,ATL,1,8,
51,/boxes/ARI/ARI201506020.shtml,ARI,,ATL,7,6,
52,/boxes/ARI/ARI201506030.shtml,ARI,,ATL,9,8,
